Orthogroup	Saimiri_boliviensis_boliviensis	Sarcophilus_harrisii
OG0006183	XP_010328422.2	XP_003761043.1
OG0006184	XP_003927163.1, XP_010336151.1, XP_010336150.1, XP_010336149.1	XP_003762446.3
OG0006185	XP_039324778.1	XP_031811134.1
OG0006186	XP_039331363.1, XP_039318321.1	XP_031805954.1
OG0006187	XP_039325932.1	XP_031813833.1
OG0006188	XP_039336210.1	XP_031813416.1
OG0006190	XP_003939335.1	XP_031795348.1, XP_003770965.1
OG0006191	XP_003944408.1	XP_003768953.1
OG0006192	XP_010346871.1	XP_031793288.1
OG0006193	XP_010327924.1	XP_012403569.1
OG0006198	XP_003920140.2	XP_003773938.2, XP_012408148.1
OG0006199	XP_003935866.3	XP_031805365.1, XP_031805367.1
OG0006203	XP_003926030.1	XP_031802583.1
OG0006204	XP_039319706.1	XP_003760134.1
OG0006205	XP_003926066.1	XP_031802041.1
OG0006206	XP_003926158.2	XP_003760021.1, XP_031801761.1
OG0006207	XP_003926109.1	XP_031801923.1
OG0006208	XP_039319567.1	XP_031801809.1
OG0006209	XP_003932498.2	XP_031820106.1, XP_031820105.1, XP_003769498.1
OG0006210	XP_039334577.1	XP_031813566.1
OG0006211	XP_039323518.1	XP_031793489.1
OG0006212	XP_010329722.1	XP_012404866.1, XP_031793483.1
OG0006213	XP_039323758.1	XP_031793455.1
OG0006214	XP_039323403.1, XP_039328353.1	XP_012404863.2
OG0006216	XP_039323657.1	XP_031793419.1
OG0006217	XP_039322937.1, XP_010342613.1	XP_031793418.1
OG0006218	XP_010342620.2, XP_039320816.1	XP_031793400.1
OG0006219	XP_039323464.1, XP_039326270.1, XP_039331127.1, XP_039318864.1, XP_039316040.1	XP_031824245.1
OG0006220	XP_039323720.1, XP_003933839.1, XP_039323722.1	XP_031793365.1
OG0006221	XP_039324783.1, XP_039319924.1, XP_003938672.1	XP_031820224.1
OG0006222	XP_010341258.1, XP_010341259.1, XP_003932421.1, XP_039323708.1	XP_003769457.1
OG0006223	XP_003938220.2	XP_031793557.1
OG0006224	XP_039330589.1	XP_031793570.1, XP_031793584.1, XP_031793576.1
OG0006225	XP_039331064.1, XP_039331065.1	XP_023353435.1
OG0006226	XP_039317357.1, XP_010335429.2	XP_031795510.1
OG0006227	XP_003928228.2	XP_031817874.1
OG0006228	XP_039330677.1	XP_031812689.1
OG0006229	XP_039330781.1	XP_023354027.2
OG0006230	XP_010347082.1	XP_012399163.1
OG0006231	XP_003938248.1	XP_031814412.1
OG0006232	XP_003938255.1	XP_031807395.1
OG0006233	XP_003938253.2	XP_031807418.1
OG0006234	XP_039331124.1	XP_031815278.1
OG0006236	XP_039321705.1	XP_031817657.1
OG0006239	XP_003940390.2	XP_031817601.1
OG0006240	XP_039321692.1	XP_031817617.1
OG0006242	XP_039321975.1	XP_031817585.1
OG0006243	XP_003940347.2, XP_039335076.1	XP_031819249.1
OG0006244	XP_010349314.2	XP_031819684.1
OG0006245	XP_039322720.1	XP_031819704.1
OG0006246	XP_039323070.1	XP_031819070.1
OG0006247	XP_039322010.1	XP_031819081.1, XP_031819082.1
OG0006248	XP_003944562.1	XP_031819130.1
OG0006249	XP_003944566.1, XP_010330785.1	XP_031817542.1
OG0006250	XP_010329253.1	XP_031817473.1
OG0006251	XP_003943163.1	XP_031817474.1
OG0006253	XP_039323084.1	XP_031817454.1
OG0006254	XP_039322682.1	XP_023349913.1, XP_023349914.1, XP_003757237.1
OG0006255	XP_003937356.2	XP_031810251.1, XP_031810252.1, XP_031810253.1
OG0006256	XP_039334804.1	XP_031795742.1
OG0006258	XP_039334525.1	XP_031795655.1
OG0006259	XP_010347381.1	XP_031795658.1
OG0006260	XP_039334510.1	XP_031795789.1
OG0006261	XP_039334517.1	XP_031794476.1
OG0006262	XP_039334937.1	XP_023360484.1
OG0006263	XP_039334590.1, XP_010347990.1, XP_039334589.1	XP_031794363.1
OG0006264	XP_003933948.3	XP_031809260.1
OG0006265	XP_010342754.1	XP_003756656.2
OG0006266	XP_010342741.1	XP_012406299.2
OG0006267	XP_039335717.1	XP_031809323.1
OG0006268	XP_010336723.1	XP_031809328.1
OG0006269	XP_003920604.1	XP_003756743.1
OG0006270	XP_003925892.2	XP_023351521.1
OG0006271	XP_003925889.1	XP_031821089.1
OG0006272	XP_003925837.1	XP_031821439.1
OG0006273	XP_003925825.2	XP_003759939.3, XP_023351865.1
OG0006274	XP_039326957.1	XP_031822497.1
OG0006275	XP_010334830.1	XP_003759514.1
OG0006276	XP_003925803.1	XP_012396564.2
OG0006277	XP_039329046.1	XP_031822291.1
OG0006278	XP_003943546.1	XP_012396164.1
OG0006279	XP_039334768.1	XP_031810430.1
OG0006280	XP_003943503.1	XP_031810389.1
OG0006281	XP_003937297.1	XP_031810287.1
OG0006282	XP_039330354.1	XP_031818163.1, XP_031818162.1
OG0006284	XP_003944631.1	XP_031818325.1
OG0006285	XP_039330086.1	XP_031818519.1
OG0006286	XP_010343819.1	XP_031818604.1
OG0006287	XP_003934996.1	XP_031818606.1
OG0006288	XP_039330491.1	XP_031817406.1
OG0006289	XP_003936081.1	XP_023355639.1
OG0006290	XP_003936082.1	XP_031818736.1
OG0006291	XP_039334895.1, XP_039334569.1	XP_023360838.1
OG0006292	XP_010348320.1	XP_012397297.1
OG0006293	XP_010338225.1	XP_031824269.1, XP_031824270.1
OG0006294	XP_039325452.1	XP_031824570.1
OG0006295	XP_010339024.2	XP_031822984.1
OG0006296	XP_003920860.1	XP_031821941.1
OG0006297	XP_039335784.1	XP_031814948.1
OG0006298	XP_039327826.1	XP_031796573.1
OG0006299	XP_003940579.2	XP_031811379.1
OG0006300	XP_010347941.1	XP_031811464.1
OG0006301	XP_003921660.2	XP_031811473.1
OG0006302	XP_039335819.1	XP_031811478.1
OG0006303	XP_039335950.1	XP_003755585.2
OG0006304	XP_039335817.1	XP_031811486.1
OG0006305	XP_039335787.1	XP_031812562.1
OG0006306	XP_003921644.1	XP_003754980.1, XP_031812557.1, XP_031812560.1, XP_031812558.1
OG0006307	XP_010348376.2	XP_031811546.1
OG0006308	XP_039335915.1	XP_031811531.1
OG0006309	XP_003921723.1	XP_031811516.1
OG0006310	XP_003921738.2	XP_003755544.1
OG0006311	XP_039324168.1	XP_031797410.1
OG0006312	XP_003934695.1	XP_031798601.1
OG0006313	XP_039324436.1	XP_031798805.1
OG0006314	XP_039324185.1	XP_031797273.1
OG0006315	XP_039323984.1	XP_031798329.1
OG0006316	XP_003934723.1, XP_010343586.1	XP_003773431.1
OG0006317	XP_003934719.1	XP_031798734.1
OG0006318	XP_039324458.1	XP_031799057.1
OG0006319	XP_039324175.1	XP_031798969.1
OG0006320	XP_039324255.1	XP_031797756.1
OG0006321	XP_010343458.1, XP_039324044.1	XP_031799626.1
OG0006322	XP_003922685.1	XP_003755644.1
OG0006323	XP_039335850.1, XP_039323207.1	XP_031812624.1
OG0006324	XP_039329577.1	XP_031817966.1, XP_031822196.1
OG0006325	XP_003940843.2	XP_031822755.1
OG0006326	XP_010344183.2, XP_003935397.2	XP_023357824.1
OG0006327	XP_003940851.2	XP_003767865.1
OG0006328	XP_010349835.2	XP_031822775.1
OG0006329	XP_010337634.1	XP_031812764.1, XP_023360896.1, XP_031812767.1, XP_031812765.1
OG0006330	XP_039334341.1	XP_031812735.1
OG0006331	XP_039328883.1, XP_039333893.1	XP_031812722.1
OG0006332	XP_003928691.1	XP_031812692.1, XP_031812693.1
OG0006333	XP_003928695.1, XP_003928693.1	XP_031812691.1
OG0006334	XP_010337598.1	XP_031812687.1, XP_031812686.1
OG0006335	XP_010337590.2	XP_031812682.1
OG0006336	XP_039334054.1	XP_031812681.1
OG0006337	XP_039334065.1	XP_031812362.1
OG0006338	XP_003939842.1	XP_031805328.1
OG0006339	XP_003942596.1	XP_003758895.1
OG0006340	XP_010338860.1, XP_010338863.1, XP_010338861.1	XP_012396407.1
OG0006341	XP_003930004.1	XP_003755256.2
OG0006342	XP_010344906.1	XP_003756925.1
OG0006343	XP_010344914.2	XP_003756922.1
OG0006344	XP_003936155.1	XP_031809599.1, XP_031809598.1
OG0006345	XP_039316430.1, XP_003936171.1	XP_003756910.2
OG0006346	XP_039316310.1	XP_003756937.2
OG0006347	XP_003926094.1, XP_039316472.1	XP_023362105.2
OG0006348	XP_039329210.1	XP_003759617.2
OG0006349	XP_039316676.1	XP_031809482.1
OG0006350	XP_003934078.2, XP_039331204.1	XP_003756761.2
OG0006351	XP_010342868.1	XP_023361383.2
OG0006352	XP_003934051.1	XP_031805372.1
OG0006353	XP_003934041.1	XP_031809562.1
OG0006354	XP_003925946.1	XP_003759963.1
OG0006355	XP_010334960.1	XP_012396883.1, XP_023351892.1
OG0006356	XP_039320391.1, XP_039325504.1, XP_039327802.1, XP_010346676.2	XP_003764522.1
OG0006357	XP_039325138.1	XP_023351901.2
OG0006358	XP_003925977.1	XP_031820026.1
OG0006359	XP_003925987.1	XP_031819927.1
OG0006360	XP_003936269.1	XP_003762098.1
OG0006361	XP_039324426.1	XP_003759691.1
OG0006362	XP_003942961.2	XP_012396669.1
OG0006363	XP_003936263.2	XP_031801738.1
OG0006364	XP_010339359.2	XP_031808496.1
OG0006365	XP_039326247.1	XP_003764222.1
OG0006366	XP_039326961.1	XP_031819555.1
OG0006367	XP_039326462.1	XP_012400595.1
OG0006368	XP_003923577.1	XP_031816785.1
OG0006370	XP_003923606.1	XP_023355305.1
OG0006371	XP_039327024.1	XP_003764175.1
OG0006372	XP_003923638.1	XP_031816021.1
OG0006373	XP_039326891.1	XP_003764202.2
OG0006374	XP_039326539.1	XP_031817191.1
OG0006375	XP_010332841.1	XP_023355214.1
OG0006376	XP_003923763.1	XP_031817032.1
OG0006377	XP_003923777.1	XP_031817019.1
OG0006378	XP_039327434.1	XP_031817265.1
OG0006379	XP_039327349.1	XP_031816951.1
OG0006380	XP_010341943.1	XP_012398494.1
OG0006381	XP_010340300.1	XP_012404229.1
OG0006382	XP_039320270.1, XP_003931445.1	XP_031821251.1
OG0006383	XP_010338055.1	XP_031821260.1
OG0006384	XP_003929192.1	XP_003768830.2
OG0006385	XP_039332516.1	XP_031821279.1
OG0006386	XP_039332594.1	XP_003768819.2
OG0006387	XP_010338146.1	XP_031821353.1
OG0006388	XP_003929283.1	XP_031821365.1
OG0006389	XP_003929310.1	XP_012396765.1
OG0006390	XP_039331956.1	XP_031823687.1
OG0006391	XP_003929327.1, XP_010338200.1	XP_012398114.2
OG0006392	XP_010338250.1	XP_031796261.1
OG0006393	XP_039330082.1	XP_031824843.1
OG0006394	XP_039329916.1	XP_031801127.1, XP_031801129.1, XP_031801128.1, XP_031801126.1
OG0006395	XP_010346665.2	XP_031824880.1
OG0006396	XP_003921557.1	XP_012403037.1
OG0006397	XP_039330070.1	XP_031824944.1
OG0006398	XP_039326262.1, XP_039330339.1	XP_031818938.1, XP_031818939.1, XP_031818940.1
OG0006399	XP_003939709.1	XP_031818922.1, XP_031818920.1, XP_031818921.1, XP_031818918.1, XP_031818917.1
OG0006400	XP_039329470.1	XP_031817433.1
OG0006401	XP_039330248.1	XP_031818847.1
OG0006402	XP_003939682.1	XP_031818832.1
OG0006403	XP_039330420.1	XP_031818817.1
OG0006404	XP_039330385.1	XP_003765238.2
OG0006405	XP_003939669.1	XP_031819585.1
OG0006406	XP_039329657.1	XP_031818814.1
OG0006407	XP_010332060.2, XP_039336293.1	XP_031806009.1
OG0006408	XP_039329870.1	XP_031806020.1, XP_031806019.1
OG0006409	XP_003938130.1	XP_031805121.1
OG0006410	XP_003939965.1	XP_031805849.1
OG0006411	XP_010348985.1	XP_003758589.3
OG0006412	XP_003940006.1	XP_031805932.1
OG0006413	XP_039329887.1	XP_031805948.1
OG0006414	XP_003936349.2	XP_012395766.2
OG0006415	XP_003936337.3	XP_031806157.1, XP_031806156.1
OG0006416	XP_003936324.1	XP_012395746.1, XP_031806179.1
OG0006417	XP_003936302.1	XP_003758435.1
OG0006418	XP_039333651.1	XP_031806191.1
OG0006419	XP_003936299.1	XP_031806198.1
OG0006420	XP_010347050.1	XP_031824935.1
OG0006421	XP_003922850.2	XP_012395787.1
OG0006422	XP_039334150.1	XP_003761766.1
OG0006423	XP_010338734.1, XP_039316266.1	XP_031823750.1
OG0006424	XP_003934148.1	XP_031823761.1
OG0006425	XP_039316325.1	XP_031824650.1
OG0006426	XP_039316370.1	XP_003770549.2, XP_031823768.1
OG0006427	XP_003934164.3	XP_031823810.1
OG0006428	XP_003934179.1	XP_031823861.1
OG0006429	XP_010343028.1	XP_031821161.1
OG0006430	XP_003934235.1	XP_012404265.1, XP_023358569.1
OG0006431	XP_003934238.1	XP_031821146.1
OG0006433	XP_010343077.1	XP_003761614.1
OG0006434	XP_003934285.2	XP_003761538.1
OG0006435	XP_003934350.2	XP_031797559.1, XP_031797561.1, XP_031797569.1
OG0006436	XP_003934301.2	XP_003761618.1
OG0006437	XP_039316664.1	XP_031796719.1
OG0006438	XP_003930082.1	XP_003761375.2
OG0006439	XP_039334098.1	XP_023353089.1
OG0006440	XP_003930109.1	XP_003761636.1
OG0006441	XP_010338986.1	XP_012398320.1
OG0006442	XP_010339127.1	XP_023353617.1
OG0006443	XP_039334034.1	XP_012398456.2
OG0006444	XP_039333717.1	XP_031797779.1
OG0006445	XP_010339080.2	XP_031797791.1
OG0006446	XP_039334040.1	XP_031800128.1
OG0006447	XP_039333696.1	XP_003761739.1
OG0006448	XP_039323159.1, XP_039318188.1, XP_039323294.1, XP_039325054.1, XP_039323286.1, XP_039333686.1	XP_031801299.1
OG0006449	XP_039334314.1, XP_003938792.1	XP_031800579.1
OG0006450	XP_039333994.1	XP_031800611.1
OG0006451	XP_010337430.1	XP_023353490.1
OG0006452	XP_003928519.2	XP_031801473.1
OG0006453	XP_039333779.1	XP_031801480.1
OG0006454	XP_010337412.1, XP_003928504.1, XP_010337411.1	XP_012398616.1
OG0006455	XP_039334000.1	XP_031801492.1
OG0006456	XP_003928495.1	XP_031801499.1
OG0006458	XP_039334046.1	XP_031801728.1
OG0006459	XP_039333826.1	XP_031801681.1
OG0006460	XP_039334271.1	XP_031801612.1
OG0006461	XP_003928404.2	XP_003762008.1
OG0006462	XP_039333950.1	XP_031801556.1
OG0006463	XP_010349654.1	XP_012398642.3
OG0006464	XP_010342299.1, XP_039316751.1, XP_039316752.1	XP_012405022.1
OG0006465	XP_039316816.1	XP_031823026.1
OG0006466	XP_039316810.1	XP_003769720.1
OG0006467	XP_003943307.1	XP_003767288.1
OG0006468	XP_003921450.1	XP_031823626.1
OG0006469	XP_039329541.1	XP_031823749.1
OG0006470	XP_003921463.1	XP_031822808.1
OG0006472	XP_003930482.2	XP_031824280.1
OG0006473	XP_003924800.1	XP_031802337.1, XP_031805983.1, XP_031802533.1
OG0006474	XP_010347177.1	XP_031793000.1
OG0006475	XP_039321617.1	XP_031792991.1
OG0006477	XP_010330312.1	XP_012403222.1
OG0006478	XP_003930430.2	XP_031793185.1
OG0006479	XP_003930404.2	XP_023357732.2
OG0006480	XP_003925334.1	XP_031792897.1
OG0006481	XP_039316021.1	XP_031792898.1
OG0006482	XP_003925390.1	XP_003767507.1
OG0006483	XP_039315997.1	XP_031792778.1
OG0006484	XP_039315991.1	XP_031792774.1, XP_031792773.1
OG0006485	XP_039315924.1, XP_003925403.2	XP_031792775.1
OG0006486	XP_010334429.1	XP_031792746.1
OG0006487	XP_003925418.1	XP_003767467.2
OG0006488	XP_003925431.1	XP_031792725.1
OG0006489	XP_010336997.1, XP_039319942.1	XP_031792704.1
OG0006490	XP_003928132.1	XP_031792688.1
OG0006491	XP_039320197.1	XP_031822845.1
OG0006492	XP_039320180.1	XP_003767814.2
OG0006493	XP_003930360.2	XP_012403364.3
OG0006494	XP_010346803.1, XP_003937922.1	XP_031822676.1
OG0006495	XP_003937909.1, XP_039316003.1	XP_031822655.1, XP_031822654.1
OG0006496	XP_010346758.1	XP_031822619.1, XP_023358031.1, XP_003768138.1
OG0006497	XP_010346724.1	XP_031822598.1
OG0006498	XP_039316189.1	XP_031822597.1
OG0006499	XP_003937823.1	XP_003768109.1
OG0006500	XP_039317703.1, XP_039328258.1, XP_039327969.1, XP_003937813.1	XP_012403651.1
OG0006501	XP_039316158.1	XP_003768082.1
OG0006502	XP_010327959.1, XP_010327960.1	XP_003768056.1
OG0006503	XP_003924749.1	XP_012396598.1
OG0006504	XP_003924767.2	XP_031801916.1
OG0006505	XP_003924810.1	XP_031802349.1
OG0006506	XP_039319633.1	XP_023351978.1
OG0006507	XP_003924909.1	XP_012407540.1
OG0006508	XP_003924961.3	XP_031802517.1, XP_031802518.1
OG0006509	XP_039319468.1	XP_023351731.2, XP_031801097.1, XP_031801095.1
OG0006510	XP_003924588.1, XP_010333581.1	XP_031808388.1
OG0006511	XP_003941655.1	XP_031809105.1, XP_003756597.1
OG0006512	XP_003924357.1	XP_031805199.1
OG0006513	XP_003930638.3	XP_003759159.3
OG0006514	XP_039324684.1	XP_031808164.1
OG0006515	XP_003924383.1	XP_012400157.1
OG0006517	XP_003924349.1	XP_031810924.1, XP_031810923.1
OG0006518	XP_010333314.1	XP_031810948.1
OG0006519	XP_010333301.1	XP_003755933.1
OG0006520	XP_003924318.1	XP_003755947.1
OG0006521	XP_010333288.1	XP_012400551.1
OG0006522	XP_003924285.1	XP_023356941.1
OG0006523	XP_003924255.1	XP_031808798.1
OG0006524	XP_039324917.1	XP_031808476.1
OG0006525	XP_039324707.1	XP_003756433.1
OG0006526	XP_003930584.1	XP_031808831.1
OG0006527	XP_003930585.1	XP_031808780.1
OG0006528	XP_003930563.1	XP_012404618.1
OG0006529	XP_003924438.2	XP_031808528.1
OG0006530	XP_010333430.1	XP_012396458.1, XP_031808539.1, XP_031808540.1
OG0006531	XP_003924452.2	XP_031805159.1
OG0006532	XP_039324586.1	XP_023358593.2
OG0006533	XP_039325290.1	XP_031808563.1
OG0006534	XP_039324802.1	XP_031808566.1
OG0006535	XP_003924485.1	XP_031808585.1
OG0006536	XP_010333488.2	XP_031808642.1
OG0006537	XP_003924522.1	XP_003756424.1
OG0006538	XP_003924538.1, XP_003924719.1	XP_003756343.1
OG0006539	XP_039319961.1, XP_010333527.1	XP_012403719.1
OG0006540	XP_010333559.1	XP_031808420.1
OG0006541	XP_003924582.1	XP_003756306.1
OG0006542	XP_010333589.1	XP_003756273.1
OG0006543	XP_010333616.1	XP_031808358.1
OG0006544	XP_039325384.1	XP_031808189.1
OG0006545	XP_039325169.1	XP_003756207.1
OG0006546	XP_010337942.2	XP_031809140.1
OG0006547	XP_039325166.1	XP_031808615.1
OG0006548	XP_003931308.1	XP_031824512.1
OG0006549	XP_003925444.2	XP_023363160.2
OG0006550	XP_010329742.1	XP_003768486.3
OG0006551	XP_010328953.1	XP_003768292.1
OG0006552	XP_003942860.1	XP_012403786.1, XP_012403781.2
OG0006553	XP_003931512.1	XP_031823602.1, XP_031823604.1
OG0006554	XP_003931705.2	XP_003768683.2
OG0006555	XP_010340678.1	XP_003768729.1
OG0006556	XP_003931839.1	XP_003768610.1
OG0006557	XP_039321944.1	XP_031804150.1
OG0006558	XP_039332912.1	XP_031824511.1
OG0006559	XP_010329797.1	XP_031821903.1
OG0006560	XP_039332849.1	XP_031822224.1
OG0006561	XP_039331486.1, XP_039332183.1	XP_031822094.1
OG0006562	XP_003942886.1	XP_012403795.1
OG0006563	XP_039332744.1	XP_031822027.1
OG0006564	XP_003931533.2	XP_012403834.3
OG0006565	XP_003931261.2	XP_003768377.1
OG0006566	XP_003931334.1	XP_031822239.1
OG0006567	XP_039331855.1	XP_031822307.1
OG0006568	XP_010338045.1	XP_003768001.1
OG0006569	XP_010338036.2	XP_012403513.3
OG0006570	XP_010338034.1, XP_010338035.1	XP_003767986.1
OG0006572	XP_003929133.1	XP_023357902.2
OG0006573	XP_039331837.1	XP_023357884.1
OG0006574	XP_003933095.1, XP_010341942.1	XP_023359384.1
OG0006575	XP_010341939.1	XP_031823449.1
OG0006576	XP_039332052.1	XP_031823480.1
OG0006577	XP_010340341.2	XP_031823539.1
OG0006578	XP_039331845.1	XP_031824595.1
OG0006579	XP_010338339.2	XP_012405303.1
OG0006580	XP_039317331.1	XP_012409529.2
OG0006581	XP_039317335.1	XP_031807742.1
OG0006582	XP_039317312.1	XP_031807830.1, XP_031807831.1, XP_031807832.1, XP_012409517.1
OG0006583	XP_010350473.1	XP_012409479.1
OG0006584	XP_010344718.1	XP_012409430.1
OG0006585	XP_010344728.2	XP_031810740.1, XP_012409417.1, XP_012409418.1
OG0006586	XP_039317451.1	XP_012409397.1
OG0006587	XP_003920937.1	XP_023350081.2
OG0006588	XP_003920934.1	XP_031810731.1
OG0006589	XP_010349648.1	XP_031810174.1
OG0006590	XP_010335514.1	XP_003772410.2
OG0006591	XP_010348238.1, XP_039320136.1, XP_003938044.1	XP_003772212.1
OG0006592	XP_039328326.1	XP_031797052.1
OG0006593	XP_039328425.1	XP_031796997.1
OG0006594	XP_010335538.1	XP_031796951.1, XP_031796952.1, XP_031796950.1
OG0006595	XP_010335545.2	XP_031796940.1
OG0006596	XP_003926545.1	XP_031796919.1, XP_031796920.1
OG0006597	XP_003926548.2	XP_003772338.1
OG0006598	XP_003926571.1	XP_031796766.1
OG0006599	XP_010336730.2, XP_039322181.1	XP_031796503.1
OG0006600	XP_003927855.1, XP_010336735.1	XP_003770984.1
OG0006601	XP_003932832.1	XP_003770858.1
OG0006602	XP_010341676.1	XP_031794094.1, XP_031794093.1
OG0006603	XP_039319218.1	XP_031797090.1
OG0006604	XP_039319151.1	XP_031793854.1
OG0006605	XP_003932807.1	XP_031797007.1
OG0006606	XP_010341615.2	XP_031793607.1
OG0006607	XP_039319156.1	XP_031797003.1, XP_031797004.1
OG0006608	XP_039319085.1	XP_031794316.1
OG0006609	XP_003932858.1	XP_031794392.1
OG0006610	XP_039319160.1	XP_031795989.1
OG0006611	XP_003932976.1	XP_003771149.1
OG0006612	XP_003929687.1	XP_031795787.1, XP_031795788.1
OG0006613	XP_003922832.1	XP_023356213.1, XP_003765727.1
OG0006614	XP_039334840.1	XP_003766759.2
OG0006615	XP_003938097.1	XP_031815012.1
OG0006616	XP_010346925.1	XP_023356190.1
OG0006617	XP_003941341.1	XP_031814977.1
OG0006618	XP_003941343.1	XP_003765689.1
OG0006619	XP_039330221.1	XP_031807342.1
OG0006620	XP_003926824.1	XP_003758375.1
OG0006621	XP_003922786.2, XP_039328743.1	XP_031806329.1
OG0006622	XP_039333885.1, XP_039319453.1, XP_010338846.2	XP_012396177.1
OG0006623	XP_003922747.2	XP_023350686.1
OG0006624	XP_003922733.1	XP_003758275.2
OG0006625	XP_003922696.1	XP_023350457.1
OG0006626	XP_039319155.1	XP_031795983.1
OG0006627	XP_010331909.2	XP_003758340.2
OG0006628	XP_010331028.2	XP_003756397.1, XP_031821113.1
OG0006629	XP_039317642.1, XP_010337771.2	XP_031794829.1
OG0006630	XP_010337692.2	XP_012398067.2
OG0006631	XP_039324717.1	XP_012405156.1, XP_031808892.1
OG0006632	XP_003933996.1	XP_031809199.1, XP_031809200.1
OG0006633	XP_010345901.2, XP_039330880.1, XP_003933985.1	XP_003756634.1
OG0006634	XP_003943849.1	XP_003761827.2, XP_023353407.1
OG0006635	XP_039330847.1	XP_031793041.1, XP_031793035.1
OG0006636	XP_039330724.1	XP_031792920.1
OG0006637	XP_010349096.1	XP_031792785.1
OG0006638	XP_039331037.1	XP_031801391.1
OG0006639	XP_003940142.1	XP_031817113.1
OG0006640	XP_003925310.1	XP_031801425.1, XP_012398572.1
OG0006641	XP_003925302.1	XP_012398839.1
OG0006642	XP_010334274.2	XP_031798926.1
OG0006643	XP_010334254.1	XP_031810531.1
OG0006644	XP_039330926.1	XP_023350018.1
OG0006645	XP_003925235.1	XP_031810054.1, XP_031810053.1
OG0006646	XP_003930802.1, XP_003937012.1	XP_003770404.1
OG0006647	XP_003926435.1	XP_012404579.1
OG0006648	XP_039330618.1	XP_012398543.2, XP_031805386.1, XP_012398542.1, XP_003761878.1
OG0006649	XP_010349110.2, XP_003940121.2	XP_031801417.1
OG0006650	XP_003944679.1	XP_003770572.1
OG0006651	XP_003944699.1	XP_023358633.1
OG0006652	XP_003944394.2, XP_003944395.2	XP_031821025.1
OG0006653	XP_039322394.1	XP_031821007.1
OG0006654	XP_039322325.1	XP_012404372.1, XP_012404373.1
OG0006655	XP_039321459.1, XP_039321462.1	XP_031820984.1
OG0006656	XP_010330535.2	XP_003768966.1
OG0006658	XP_010332329.2	XP_031820955.1
OG0006659	XP_003923214.3	XP_012405806.1
OG0006660	XP_039322859.1	XP_031820850.1
OG0006661	XP_003923242.1	XP_031820841.1
OG0006662	XP_010332384.2	XP_031820837.1
OG0006663	XP_039323681.1, XP_039331444.1	XP_031820809.1
OG0006664	XP_003923030.1	XP_012404485.1
OG0006665	XP_010332189.2	XP_031820676.1
OG0006666	XP_039323831.1	XP_031820671.1
OG0006667	XP_003923096.1	XP_003769155.3
OG0006668	XP_003923118.1, XP_010332260.1	XP_031824276.1
OG0006669	XP_010332277.1	XP_023358793.1
OG0006670	XP_003923139.1	XP_031820601.1
OG0006671	XP_010335442.1	XP_031820564.1, XP_031820565.1, XP_031805128.1
OG0006672	XP_003926396.1	XP_003769241.1
OG0006673	XP_010335386.2	XP_031820478.1
OG0006674	XP_039323414.1	XP_012404619.1
OG0006675	XP_010332456.2	XP_031820468.1
OG0006676	XP_003941787.1	XP_031803476.1
OG0006677	XP_003923310.2	XP_012404638.1
OG0006678	XP_003922957.1	XP_003769363.1
OG0006679	XP_010332066.1	XP_031820341.1
OG0006680	XP_039323397.1	XP_031820330.1
OG0006681	XP_003935975.1	XP_003769375.1
OG0006683	XP_039325170.1, XP_039323752.1	XP_031820244.1
OG0006684	XP_003938696.1	XP_003769421.1
OG0006685	XP_003938692.2	XP_031820242.1
OG0006686	XP_010336557.2	XP_031815050.1
OG0006687	XP_039329602.1	XP_031818044.1
OG0006688	XP_003943086.2	XP_031802888.1
OG0006689	XP_010347585.1	XP_003760368.1
OG0006690	XP_010342548.1, XP_039320410.1	XP_031803051.1, XP_031803050.1
OG0006691	XP_039320594.1	XP_031803147.1
OG0006692	XP_039320506.1	XP_031803148.1
OG0006693	XP_039332623.1, XP_010328191.2	XP_012397451.1
OG0006694	XP_039320457.1	XP_031803240.1
OG0006695	XP_039320338.1	XP_012397430.2, XP_031803180.1
OG0006696	XP_039320343.1	XP_023352430.2
OG0006697	XP_010328143.2	XP_031803442.1
OG0006698	XP_039320677.1, XP_039320678.1	XP_031803212.1
OG0006699	XP_039325351.1	XP_012396013.1
OG0006700	XP_039325229.1	XP_031812645.1, XP_031812644.1, XP_031812643.1
OG0006701	XP_003941022.1	XP_003773340.1
OG0006702	XP_010342495.2	XP_031798854.1
OG0006703	XP_003933676.2	XP_031799812.1
OG0006704	XP_039324053.1	XP_031799790.1
OG0006705	XP_010342094.1	XP_003771601.1
OG0006706	XP_039320263.1	XP_023359848.1
OG0006707	XP_039320211.1	XP_031816255.1
OG0006708	XP_003921032.1	XP_031796990.1
OG0006709	XP_010341257.1	XP_031794939.1
OG0006710	XP_039328949.1	XP_031794895.1
OG0006711	XP_039328791.1	XP_031794873.1
OG0006712	XP_003921206.3	XP_012406346.2
OG0006713	XP_010343463.1	XP_031795845.1
OG0006714	XP_003921243.3	XP_031795857.1
OG0006715	XP_003921288.1	XP_012407155.1
OG0006716	XP_003921294.1	XP_003772552.2
OG0006717	XP_003935197.1	XP_031796392.1
OG0006718	XP_003935223.1, XP_010344012.1	XP_031796361.1
OG0006719	XP_010344013.2	XP_031796124.1
OG0006720	XP_010344018.1	XP_031817646.1
OG0006721	XP_010339598.1	XP_031808840.1
OG0006722	XP_010339609.1	XP_031824478.1
