Orthogroup	Sarcophilus_harrisii	Echinops_telfairi
OG0008570	XP_003757768.1	XP_004698055.1
OG0008572	XP_031807410.1, XP_031807408.1	XP_045151519.1
OG0008573	XP_012395261.1	XP_045151427.1
OG0008574	XP_031810431.1	XP_045151425.1
OG0008575	XP_031810439.1	XP_045151509.1
OG0008576	XP_031810451.1	XP_030742915.1
OG0008577	XP_023350295.1	XP_045151084.1
OG0008578	XP_012395159.2	XP_004698377.2
OG0008579	XP_031807517.1	XP_004698123.1
OG0008580	XP_012395136.1	XP_012863109.1
OG0008581	XP_003757718.1	XP_004698125.1
OG0008582	XP_012395119.1	XP_004716153.1
OG0008583	XP_031807560.1	XP_004716147.1
OG0008584	XP_031807571.1	XP_045152898.1
OG0008585	XP_031823724.1, XP_031807575.1	XP_004716142.1
OG0008586	XP_031807579.1, XP_003757673.1	XP_045152869.1
OG0008587	XP_003757664.2	XP_004716100.2
OG0008588	XP_031807689.1	XP_004716111.2
OG0008589	XP_003774571.1	XP_004702277.2, XP_045140288.1
OG0008590	XP_012395521.1	XP_004707682.2
OG0008591	XP_003759120.2	XP_004707668.1
OG0008592	XP_003764577.1	XP_045143036.1
OG0008593	XP_031816599.1	XP_004715456.1
OG0008594	XP_003764539.1	XP_012861679.1
OG0008595	XP_031816667.1	XP_012863228.2
OG0008596	XP_031816699.1	XP_045149942.1
OG0008597	XP_031800258.1, XP_023354471.2	XP_004703928.1
OG0008598	XP_031797789.1	XP_045141342.1
OG0008599	XP_003773108.4	XP_004696507.2
OG0008600	XP_003757973.1	XP_004707701.1
OG0008601	XP_012395375.1	XP_045142683.1
OG0008602	XP_031806793.1	XP_012861357.2
OG0008603	XP_012395241.1	XP_045142771.1
OG0008604	XP_031805506.1	XP_012861367.1
OG0008605	XP_031805508.1	XP_012861350.1
OG0008606	XP_031805509.1	XP_045142498.1
OG0008607	XP_031805525.1	XP_004707755.1
OG0008608	XP_031806751.1	XP_004707658.1
OG0008609	XP_031806750.1	XP_004718226.1
OG0008610	XP_031805116.1	XP_004707638.1
OG0008611	XP_003758100.1	XP_045142600.1
OG0008612	XP_012395485.1	XP_045142678.1
OG0008613	XP_031824074.1	XP_045152203.1
OG0008614	XP_031813378.1	XP_004701926.2
OG0008615	XP_031813376.1, XP_031813377.1	XP_045150382.1
OG0008616	XP_031824123.1	XP_045150396.1
OG0008618	XP_031823987.1	XP_045150797.1
OG0008619	XP_012402115.1	XP_045150467.1
OG0008620	XP_031813344.1	XP_004701754.1
OG0008624	XP_031804230.1, XP_031804234.1	XP_045152821.1
OG0008625	XP_031804307.1	XP_030743326.1
OG0008626	XP_031804315.1	XP_004709667.1
OG0008627	XP_031804343.1	XP_045152751.1
OG0008628	XP_031804349.1	XP_004709778.1
OG0008629	XP_031804354.1	XP_045152656.1
OG0008630	XP_031804401.1	XP_030743330.2, XP_045152786.1
OG0008631	XP_031804469.1	XP_045152626.1
OG0008632	XP_031804515.1	XP_045152639.1
OG0008633	XP_031804544.1	XP_045152641.1
OG0008634	XP_031804585.1	XP_004701128.2
OG0008635	XP_031804561.1	XP_004709749.1
OG0008636	XP_031804594.1	XP_045152647.1
OG0008637	XP_031804646.1	XP_004709598.1
OG0008638	XP_031804670.1	XP_045145472.1
OG0008639	XP_031804664.1	XP_030741332.1
OG0008640	XP_031804705.1	XP_045145476.1
OG0008641	XP_031804746.1	XP_004715408.2
OG0008642	XP_031804762.1	XP_045145493.1
OG0008643	XP_031804813.1	XP_004716793.1
OG0008644	XP_031804816.1	XP_004716391.1
OG0008646	XP_031804961.1	XP_012863700.1
OG0008647	XP_003763378.1	XP_045153884.1, XP_012859705.1
OG0008648	XP_031804827.1	XP_012863679.3
OG0008649	XP_031804910.1	XP_045145587.1
OG0008650	XP_031804896.1	XP_045145510.1
OG0008651	XP_031804974.1	XP_045145508.1
OG0008652	XP_031812835.1	XP_045147607.1
OG0008653	XP_031812847.1	XP_004701141.1
OG0008654	XP_031795490.1	XP_004718238.2
OG0008655	XP_003771423.1	XP_004700076.1
OG0008656	XP_031795567.1	XP_045151835.1
OG0008657	XP_031795489.1	XP_045151833.1
OG0008658	XP_031795426.1	XP_045151823.1
OG0008659	XP_031794159.1	XP_012861475.3
OG0008660	XP_003771291.2	XP_045151953.1
OG0008661	XP_003772448.2	XP_004708299.1
OG0008662	XP_031794189.1	XP_012861484.1
OG0008664	XP_031794085.1	XP_045149196.1
OG0008666	XP_023360287.1	XP_045144338.1
OG0008667	XP_031794234.1	XP_004713835.1
OG0008668	XP_031793972.1	XP_004700059.1
OG0008669	XP_031794014.1	XP_004700259.2
OG0008670	XP_012405976.1	XP_045143200.1
OG0008671	XP_031796225.1	XP_045143178.1
OG0008672	XP_031796193.1, XP_031796194.1	XP_004711492.1, XP_045143189.1
OG0008674	XP_031793816.1	XP_045143245.1
OG0008675	XP_023360024.1	XP_045143162.1
OG0008676	XP_031793789.1	XP_012862373.3
OG0008677	XP_023360047.1, XP_031793751.1, XP_031793757.1	XP_012862370.1
OG0008678	XP_031793737.1, XP_031793736.1, XP_031793735.1	XP_045143160.1
OG0008679	XP_031793666.1	XP_045143280.1
OG0008680	XP_031793650.1	XP_004716916.1
OG0008681	XP_031793612.1	XP_004716930.1
OG0008682	XP_023361341.1	XP_045152287.1
OG0008683	XP_023361157.1, XP_003772372.1, XP_023361156.1	XP_004716976.1
OG0008684	XP_003772382.2	XP_004716955.2
OG0008685	XP_003755384.1	XP_030741870.1
OG0008686	XP_031811796.1	XP_004700963.1
OG0008687	XP_012395226.1	XP_004716310.1
OG0008688	XP_031812132.1	XP_045139589.1
OG0008689	XP_012397513.1	XP_045139617.1
OG0008690	XP_031811884.1	XP_004701136.1
OG0008691	XP_031811897.1	XP_045147377.1
OG0008692	XP_031811901.1	XP_045147171.1
OG0008693	XP_031811937.1	XP_045147522.1
OG0008694	XP_003755248.3	XP_004701093.3
OG0008696	XP_003755267.1	XP_004701379.1
OG0008697	XP_031812546.1, XP_012407703.1	XP_004701052.1
OG0008698	XP_003755492.2	XP_004701035.1
OG0008699	XP_012397259.1	XP_004701037.1
OG0008700	XP_031805217.1, XP_031811602.1	XP_004701022.1, XP_045155135.1
OG0008701	XP_003755464.1	XP_030741848.2
OG0008702	XP_031811629.1	XP_045147361.1
OG0008703	XP_031805215.1	XP_012859624.1
OG0008704	XP_031811653.1, XP_031811657.1	XP_004701347.1
OG0008705	XP_031811694.1	XP_004701341.2
OG0008706	XP_003755398.2	XP_004700973.1
OG0008707	XP_003755385.1	XP_004701321.2
OG0008708	XP_031811804.1	XP_004700958.1
OG0008709	XP_031811805.1	XP_004700957.1
OG0008710	XP_003755348.1	XP_045147333.1
OG0008711	XP_031811866.1	XP_045147326.1
OG0008712	XP_031812855.1	XP_004701302.1
OG0008713	XP_031812863.1, XP_003755054.1	XP_004700937.1
OG0008714	XP_031812876.1	XP_045147317.1, XP_012860181.1
OG0008715	XP_031812934.1	XP_004701278.2
OG0008716	XP_031805265.1	XP_045147566.1
OG0008717	XP_031812130.1	XP_004716315.1
OG0008718	XP_023352346.1	XP_004701362.1
OG0008719	XP_031802262.1	XP_004697609.1
OG0008720	XP_031802255.1	XP_004697615.1
OG0008721	XP_003759823.1	XP_004697616.1, XP_045139742.1
OG0008722	XP_012396766.1	XP_004697834.1
OG0008723	XP_003759804.1	XP_004697626.1
OG0008724	XP_031802201.1	XP_045146926.1
OG0008725	XP_012396740.1	XP_004697597.1
OG0008726	XP_012396711.1	XP_004697797.1
OG0008727	XP_003759745.2	XP_004697567.1
OG0008728	XP_031802090.1	XP_004697558.1
OG0008729	XP_031802088.1	XP_004697557.1
OG0008730	XP_023351719.2	XP_045142694.1, XP_004697545.1
OG0008731	XP_031802819.1	XP_045144429.1
OG0008732	XP_031802847.1	XP_004697773.3
OG0008733	XP_031802859.1, XP_031802860.1	XP_045143264.1
OG0008734	XP_003760300.2	XP_004697768.1
OG0008735	XP_031802876.1	XP_004697764.1
OG0008736	XP_003755043.1, XP_031812419.1	XP_004712109.1
OG0008737	XP_031805227.1	XP_045141597.1
OG0008738	XP_031807888.1	XP_030740766.1
OG0008739	XP_031807895.1	XP_045143607.1
OG0008740	XP_012401667.1	XP_004712807.2
OG0008741	XP_012401646.1	XP_030740910.1
OG0008742	XP_023356317.1	XP_004712775.1
OG0008743	XP_031807971.1	XP_004712779.1
OG0008744	XP_023356220.1	XP_004712814.1
OG0008745	XP_031808000.1	XP_004712782.2
OG0008746	XP_031808012.1	XP_045142436.1
OG0008747	XP_031808011.1	XP_004709425.1
OG0008748	XP_031808024.1	XP_045142386.1
OG0008749	XP_012402076.2	XP_045142393.1
OG0008750	XP_031808066.1	XP_045142455.1
OG0008751	XP_031810996.1	XP_045142396.1
OG0008752	XP_003755972.1	XP_004709476.1
OG0008753	XP_031811031.1	XP_045142399.1
OG0008754	XP_012400783.2	XP_004709477.1
OG0008755	XP_012400948.1	XP_045142400.1
OG0008756	XP_031811053.1	XP_045142422.1
OG0008757	XP_003755985.1	XP_045142443.1
OG0008758	XP_031811072.1	XP_030740370.2
OG0008759	XP_031811090.1, XP_031811091.1	XP_004709576.1
OG0008760	XP_031811092.1	XP_045142404.1
OG0008761	XP_031811101.1	XP_045142382.1
OG0008762	XP_023353554.1	XP_045150893.1
OG0008763	XP_031811237.1	XP_004712042.2
OG0008764	XP_012398759.1	XP_012862509.1
OG0008765	XP_012398804.2	XP_045141587.1
OG0008766	XP_003755724.3	XP_045141592.1
OG0008767	XP_003755735.1	XP_045141772.1
OG0008768	XP_031811146.1	XP_045141595.1
OG0008769	XP_031812170.1	XP_045141655.1
OG0008770	XP_031812188.1	XP_012862551.3
OG0008771	XP_031812217.1	XP_004712075.1
OG0008772	XP_031812510.1	XP_045141599.1
OG0008773	XP_031812477.1	XP_030740185.1
OG0008774	XP_031812657.1	XP_004712038.1
OG0008775	XP_012399557.1	XP_004698911.1
OG0008776	XP_012398974.2	XP_004712056.1
OG0008777	XP_012399796.1	XP_004711363.1
OG0008778	XP_031814695.1	XP_045142172.1
OG0008779	XP_031815124.1	XP_004711364.1
OG0008780	XP_012399857.1	XP_004711381.1
OG0008781	XP_012402229.1	XP_045140584.1
OG0008782	XP_012402231.2	XP_004711386.1
OG0008783	XP_003763469.1	XP_045148556.1, XP_004697396.1
OG0008784	XP_003763464.2	XP_045140502.1
OG0008785	XP_003763442.1	XP_045140467.1
OG0008786	XP_012399794.1	XP_004696985.1
OG0008787	XP_031815061.1	XP_004696979.1
OG0008788	XP_003763393.2	XP_012860821.1
OG0008789	XP_012399838.1, XP_003763453.3	XP_045140737.1
OG0008790	XP_031815073.1	XP_045140869.1
OG0008791	XP_003770581.2	XP_045140479.1
OG0008792	XP_031824200.1	XP_004696953.1
OG0008793	XP_012405664.1	XP_004696954.1
OG0008794	XP_031824647.1	XP_004697356.1
OG0008795	XP_031824152.1	XP_045140485.1
OG0008797	XP_031797675.1	XP_004703528.1
OG0008798	XP_031799865.1	XP_045140079.1
OG0008799	XP_031798996.1	XP_004703354.1
OG0008800	XP_031799696.1	XP_045140261.1
OG0008801	XP_031798951.1	XP_045140263.1
OG0008802	XP_023361529.1	XP_004703333.1
OG0008803	XP_031797225.1	XP_004703320.1
OG0008805	XP_031798610.1	XP_004703315.1
OG0008806	XP_031797461.1	XP_004703470.2
OG0008807	XP_031798756.1	XP_045140276.1
OG0008808	XP_031799249.1	XP_004703295.1
OG0008809	XP_012407506.1	XP_045140282.1
OG0008810	XP_031798742.1	XP_045140286.1
OG0008811	XP_031814195.1	XP_045152573.1
OG0008812	XP_031797905.1	XP_004703441.1
OG0008813	XP_031814726.1	XP_045142185.1
OG0008814	XP_003766411.1	XP_004706508.1
OG0008815	XP_031815412.1	XP_004716811.2
OG0008816	XP_031815420.1	XP_045142167.1
OG0008817	XP_031815423.1	XP_045142168.1
OG0008818	XP_031815430.1	XP_004706426.1
OG0008819	XP_012399942.1	XP_004706510.3
OG0008820	XP_031815502.1	XP_045142151.1
OG0008821	XP_003763641.2	XP_030740282.1
OG0008822	XP_023354818.1	XP_045150205.1, XP_004709885.1
OG0008823	XP_031815583.1	XP_004709845.1
OG0008824	XP_031817145.1	XP_045143540.1
OG0008825	XP_031815591.1	XP_012861378.1, XP_045143501.1
OG0008826	XP_031815592.1	XP_004712286.1
OG0008832	XP_031813184.1	XP_045143462.1
OG0008833	XP_031819453.1	XP_004712394.1
OG0008834	XP_003763634.2	XP_004706455.1
OG0008835	XP_023351687.2	XP_045140945.1
OG0008836	XP_031802142.1	XP_012863981.1
OG0008837	XP_003759672.1	XP_045141216.1
OG0008838	XP_031801981.1, XP_031794470.1	XP_004698177.1
OG0008839	XP_031801969.1	XP_045140940.1
OG0008840	XP_023351664.1	XP_045141256.1, XP_004698451.1
OG0008841	XP_031801963.1	XP_004698162.2
OG0008842	XP_031801937.1	XP_004698467.1
OG0008843	XP_003766088.1	XP_045150965.1
OG0008844	XP_031813589.1	XP_045150922.1
OG0008845	XP_031823960.1	XP_004713490.1
OG0008846	XP_031823947.1	XP_045152378.1
OG0008847	XP_031823958.1	XP_004713487.1
OG0008848	XP_031823945.1	XP_045152347.1
OG0008849	XP_031823937.1	XP_004713483.1
OG0008850	XP_003770332.1	XP_045152368.1
OG0008851	XP_031813392.1	XP_004713523.1
OG0008852	XP_031813282.1	XP_045152371.1
OG0008853	XP_031813259.1	XP_045143495.1
OG0008854	XP_031813453.1	XP_004704304.2
OG0008855	XP_031813462.1, XP_031813461.1	XP_004704301.1
OG0008856	XP_031813495.1	XP_012860487.1
OG0008857	XP_031816978.1	XP_004704293.1
OG0008858	XP_031801968.1	XP_004698457.2
OG0008860	XP_012397131.1	XP_030743656.2
OG0008861	XP_023352138.1, XP_031802798.1	XP_045153979.1
OG0008862	XP_012397142.1	XP_004711818.1
OG0008863	XP_031802783.1	XP_045148761.1, XP_012864169.1
OG0008864	XP_031802774.1	XP_012862432.1
OG0008865	XP_031802772.1	XP_004711702.1
OG0008866	XP_031802748.1	XP_004711697.1
OG0008867	XP_012397117.3	XP_012862434.2
OG0008868	XP_023352112.1	XP_004711716.1
OG0008869	XP_003760211.1	XP_004715347.1
OG0008870	XP_031802648.1	XP_012862655.1
OG0008871	XP_031802645.1, XP_031802644.1	XP_004712530.1
OG0008872	XP_031802639.1	XP_045151688.1
OG0008876	XP_031816209.1	XP_004701534.1
OG0008877	XP_023354988.1	XP_004703862.1
OG0008878	XP_003763924.1	XP_004703985.1
OG0008879	XP_012400196.1	XP_045154057.1
OG0008880	XP_023355005.1	XP_045154545.1
OG0008881	XP_031816447.1	XP_004703848.1
OG0008882	XP_031816394.1	XP_030743654.1
OG0008883	XP_031816339.1	XP_045155273.1
OG0008884	XP_031816326.1	XP_004703952.1
OG0008885	XP_003764011.1	XP_004718149.2
OG0008886	XP_023355053.1	XP_045155489.1
OG0008887	XP_003764044.2	XP_045152383.1
OG0008888	XP_012400320.1	XP_004701532.1
OG0008889	XP_031814045.1, XP_031814042.1	XP_045151974.1
OG0008890	XP_031816156.1	XP_012859802.2
OG0008891	XP_031816094.1	XP_004701790.1
OG0008892	XP_012400369.1	XP_045151616.1
OG0008893	XP_031814211.1	XP_030742884.1
OG0008894	XP_031814210.1, XP_031814208.1, XP_031814209.1	XP_045151257.1
OG0008895	XP_012401780.1, XP_003775343.2	XP_045151421.1
OG0008896	XP_023356458.1	XP_004701811.1
OG0008897	XP_031814097.1	XP_004701620.1
OG0008898	XP_023356442.1	XP_030743431.1
OG0008899	XP_031813883.1	XP_045151026.1
OG0008900	XP_031813879.1	XP_045152017.1
OG0008901	XP_031813857.1	XP_045150134.1
OG0008902	XP_031813839.1	XP_045152040.1
OG0008903	XP_023356581.1, XP_031813823.1	XP_045150158.1
OG0008904	XP_012403063.2	XP_045153883.1
OG0008905	XP_031822698.1	XP_004716554.1
OG0008906	XP_023357683.1, XP_023357684.1	XP_045154121.1
OG0008907	XP_003767682.4	XP_045154122.1
OG0008908	XP_031793106.1	XP_004699896.1
OG0008909	XP_003767690.2	XP_004700176.1
OG0008910	XP_003767761.1	XP_004699959.1
OG0008911	XP_003767763.2	XP_045154132.1, XP_045154631.1
OG0008912	XP_031792663.1	XP_004706826.1
OG0008913	XP_023357516.1	XP_004706834.1
OG0008914	XP_003769704.1	XP_045142531.1, XP_004716621.1
OG0008916	XP_012403452.1	XP_004716605.3
OG0008917	XP_031824541.1	XP_004714835.1
OG0008918	XP_031824442.1	XP_004700202.1
OG0008919	XP_031815262.1	XP_004714644.3
OG0008920	XP_031800514.1	XP_004713193.1
OG0008922	XP_031800277.1	XP_004710115.1
OG0008923	XP_031800259.1	XP_004717610.1
OG0008924	XP_003765664.1	XP_045146765.1
OG0008926	XP_003765655.1	XP_045141378.1
OG0008927	XP_003765646.2	XP_012863993.1
OG0008928	XP_012401555.2	XP_045146618.1
OG0008929	XP_031814845.1	XP_045146705.1
OG0008930	XP_003765609.1	XP_004710068.1
OG0008931	XP_023356075.1	XP_012861944.2
OG0008932	XP_031814762.1	XP_045146637.1
OG0008933	XP_023354696.1	XP_012861941.2
OG0008934	XP_031815329.1	XP_045146678.1
OG0008935	XP_012399903.1	XP_045146690.1
OG0008936	XP_031815296.1	XP_004714638.1
OG0008937	XP_031815290.1	XP_004714622.1
OG0008938	XP_031814939.1	XP_004713252.2
OG0008939	XP_031800237.1	XP_045144225.1
OG0008941	XP_012408906.2	XP_004713195.1
OG0008942	XP_031800966.1	XP_045144204.1
OG0008943	XP_031800178.1	XP_004713177.1
OG0008945	XP_031800431.1, XP_031800430.1	XP_004716722.1
OG0008947	XP_003774937.1	XP_045154845.1, XP_004715958.1
OG0008948	XP_031800612.1	XP_045153299.1
OG0008951	XP_023362912.1, XP_003775074.1	XP_004711238.1
OG0008952	XP_012408630.2	XP_045154524.1
OG0008953	XP_003775068.1	XP_045154497.1
OG0008954	XP_031800493.1	XP_045154495.1
OG0008956	XP_012408695.1	XP_004713130.1
OG0008958	XP_031800688.1	XP_045144313.1
OG0008962	XP_031800830.1	XP_045141489.1
OG0008964	XP_031803264.1	XP_004697417.1
OG0008967	XP_023358478.1	XP_004712542.2
OG0008968	XP_031810643.1, XP_031810640.1, XP_031810641.1, XP_031810644.1	XP_004713320.1
OG0008969	XP_023362365.1	XP_004713783.1
OG0008970	XP_003772509.1, XP_003770952.1	XP_004716980.1
OG0008971	XP_003764892.1, XP_031817343.1	XP_004717143.1
OG0008972	XP_031796622.1	XP_012860155.1
OG0008973	XP_031800634.1	XP_012862632.1
OG0008975	XP_003772911.1	XP_045140154.1
OG0008977	XP_031813186.1	XP_045143516.1
OG0008979	XP_003767038.2, XP_012400698.1	XP_045149164.1
OG0008980	XP_031806150.1	XP_045149528.1, XP_045149527.1
OG0008981	XP_031816955.1	XP_045153717.1
OG0008994	XP_031820566.1	XP_004696403.1
OG0008995	XP_003769963.1	XP_004716653.2
OG0008996	XP_031802345.1	XP_004702986.1
OG0008997	XP_031817288.1	XP_004708949.1
OG0008998	XP_031823726.1	XP_004709251.1
OG0008999	XP_003771507.1	XP_004702684.1
OG0009000	XP_031822039.1	XP_045141020.1
OG0009002	XP_031822604.1	XP_045154344.1
OG0009003	XP_003761459.2	XP_045152559.1
OG0009004	XP_031822387.1	XP_045155227.1
OG0009005	XP_031810109.1	XP_004712627.2
OG0009006	XP_003772896.1	XP_045140305.1
OG0009007	XP_031807184.1	XP_045142949.1
OG0009008	XP_012402703.1	XP_012860531.1
OG0009009	XP_003772600.2	XP_004700325.1
OG0009010	XP_031812104.1	XP_004701056.2
OG0009011	XP_023358549.1	XP_030742356.1
OG0009012	XP_031824362.1	XP_030742689.1
OG0009013	XP_003758665.1	XP_004708053.1
OG0009014	XP_023360701.1	XP_004714051.1
OG0009015	XP_031795774.1	XP_004716072.1
OG0009016	XP_031795271.1	XP_004702531.1
OG0009017	XP_031819285.1	XP_004710478.1
OG0009018	XP_023358245.1	XP_004707316.1
OG0009019	XP_003768450.1	XP_045155399.1
OG0009020	XP_003769701.1	XP_004716595.1
OG0009021	XP_031824225.1	XP_045147677.1
OG0009022	XP_031799353.1	XP_045139995.1
OG0009023	XP_023361411.1	XP_045151776.1
OG0009024	XP_003757693.1	XP_030743338.2
OG0009025	XP_031795854.1	XP_045141521.1
OG0009026	XP_031800587.1	XP_045141432.1
OG0009027	XP_003756274.1	XP_045144112.1
OG0009028	XP_031819743.1	XP_004710441.1
OG0009029	XP_031807282.1	XP_004696129.1
OG0009030	XP_003769031.1	XP_004710785.1
OG0009031	XP_003771554.1	XP_004702644.1
OG0009032	XP_031796496.1	XP_045155398.1, XP_004702898.2
OG0009033	XP_031804577.1	XP_004709747.2
OG0009034	XP_003772640.1	XP_045146032.1, XP_045152329.1
OG0009035	XP_003767705.3	XP_012859461.3
OG0009036	XP_003768700.1	XP_030743628.1
OG0009037	XP_031818279.1	XP_045154719.1
OG0009038	XP_012398193.1	XP_004705798.1
OG0009039	XP_031819745.1	XP_004710667.1
OG0009040	XP_003769734.2	XP_004699291.1
OG0009043	XP_031802976.1	XP_004697491.1
OG0009044	XP_003767453.1	XP_004706805.1
OG0009045	XP_003771257.1	XP_012863968.2
OG0009046	XP_023351794.1	XP_045147611.1
OG0009047	XP_012404625.1	XP_045150413.1
OG0009048	XP_003756529.1	XP_004697044.1
OG0009049	XP_031793901.1	XP_004711487.1
OG0009050	XP_003761012.1	XP_004715592.2
OG0009052	XP_031810879.1	XP_004702495.1
OG0009053	XP_003765868.3	XP_012862341.2
OG0009054	XP_031815620.1	XP_045153736.1
OG0009055	XP_003758015.1	XP_004704431.1
OG0009056	XP_003765983.1	XP_012859806.2
OG0009057	XP_031816652.1, XP_031816651.1	XP_045150002.1
OG0009058	XP_031795026.1	XP_012863019.2
OG0009059	XP_031800950.1	XP_045152925.1
OG0009060	XP_031799258.1	XP_045151732.1
OG0009061	XP_003769716.1	XP_004699628.1
OG0009062	XP_031793085.1	XP_004700168.1
OG0009063	XP_031801960.1	XP_004698159.1
OG0009064	XP_031816713.1	XP_045151290.1
OG0009065	XP_003768955.1	XP_030742021.1
OG0009067	XP_031818425.1	XP_045155005.1
OG0009068	XP_012400782.1	XP_004705152.1
OG0009069	XP_031820815.1	XP_030742057.1
OG0009070	XP_031799720.1	XP_004711799.1
OG0009071	XP_003769003.3	XP_045148793.1
OG0009072	XP_031803566.1	XP_045145654.1
OG0009073	XP_031803436.1	XP_004716846.1
OG0009074	XP_003759881.1	XP_004703536.1
OG0009075	XP_031809978.1	XP_004697972.1
OG0009077	XP_031822115.1	XP_004707512.1
OG0009078	XP_031797885.1	XP_004715110.1
OG0009079	XP_031811403.1	XP_004709920.1
OG0009081	XP_003768524.1	XP_012863028.1, XP_030743995.2
OG0009082	XP_031806011.1	XP_045149539.1
OG0009083	XP_031822694.1	XP_030743708.1
OG0009084	XP_003770611.2	XP_004696423.1
OG0009085	XP_012405546.3	XP_004701744.1
OG0009086	XP_012397612.1	XP_045153787.1, XP_045143129.1
OG0009087	XP_003764081.2	XP_012861624.1
OG0009088	XP_003769399.1	XP_045150542.1
OG0009089	XP_003768923.1	XP_004709143.1
OG0009090	XP_031800540.1	XP_012860904.2
OG0009091	XP_003757447.1, XP_031810665.1, XP_031810664.1	XP_004713313.1
OG0009092	XP_031820626.1	XP_004710856.1
OG0009093	XP_031823981.1	XP_004713507.1
OG0009094	XP_023352217.1	XP_045139773.1
OG0009095	XP_031810904.1	XP_045140958.1, XP_045141040.1
OG0009096	XP_031798172.1	XP_004715195.1
OG0009097	XP_031799799.1	XP_045145421.1
OG0009098	XP_012405199.1	XP_045151614.1
OG0009099	XP_012405166.1	XP_030743022.1
OG0009100	XP_023350833.1	XP_004701398.1
OG0009101	XP_003759713.1	XP_004697543.1
OG0009102	XP_031801220.1	XP_045145317.1
OG0009103	XP_031816697.1, XP_031816698.1	XP_045149944.1
OG0009104	XP_003764483.2	XP_012863354.1, XP_045149915.1
OG0009105	XP_031824582.1	XP_004716710.2
OG0009106	XP_023357655.1	XP_004699873.1
OG0009107	XP_003765790.3	XP_004704358.2
OG0009108	XP_003761508.2	XP_045156056.1
OG0009111	XP_031793323.1	XP_004702134.1
OG0009112	XP_012403253.1	XP_045154019.1
OG0009113	XP_003771673.1	XP_004707876.1
OG0009114	XP_031801498.1	XP_004705875.1
OG0009115	XP_031797555.1	XP_004713619.1
OG0009116	XP_031797201.1	XP_045147010.1
OG0009117	XP_031797770.1	XP_004703342.1
OG0009118	XP_003769506.1	XP_004702053.1
OG0009119	XP_031818125.1	XP_004704992.1
OG0009120	XP_031797563.1	XP_004711636.1
OG0009121	XP_003771445.1	XP_004700045.1, XP_045154876.1
OG0009122	XP_031794349.1	XP_045144415.1
OG0009123	XP_031796695.1	XP_004700285.2
OG0009124	XP_031803352.1	XP_030741523.1
OG0009125	XP_031812563.1	XP_004716302.1
OG0009126	XP_031821300.1	XP_045149343.1
OG0009127	XP_031797722.1, XP_031797723.1	XP_045142838.1
OG0009128	XP_031800335.1	XP_004712309.2, XP_045144548.1
OG0009129	XP_031810279.1	XP_004704757.1
OG0009130	XP_031818899.1, XP_031818898.1	XP_012860788.1
OG0009131	XP_031808471.1	XP_012859193.1
OG0009132	XP_003775075.1	XP_004711239.1
OG0009133	XP_031809454.1	XP_004697166.1
OG0009134	XP_003755370.1	XP_004700959.1
OG0009135	XP_031811945.1	XP_004701122.1
OG0009137	XP_003770500.1	XP_045148923.1
OG0009138	XP_031797774.1	XP_030742774.1
OG0009139	XP_003765843.1	XP_004709836.1
OG0009140	XP_003756227.1	XP_004699124.2
OG0009141	XP_031817476.1	XP_045148850.1
OG0009142	XP_012399547.1	XP_004714293.1
OG0009143	XP_031822076.1	XP_012861361.2, XP_004707188.1
OG0009144	XP_003769482.1	XP_004702279.1
OG0009145	XP_003761679.1	XP_004713876.1
OG0009146	XP_031819126.1	XP_045148735.1
OG0009147	XP_003769577.1	XP_004702012.1
OG0009148	XP_031795767.1	XP_004716074.2
OG0009149	XP_031810335.1	XP_004704736.1
OG0009150	XP_031804103.1	XP_030744160.1
OG0009151	XP_031808098.1	XP_030740382.1
OG0009152	XP_031812476.1	XP_004712098.2
OG0009153	XP_012396651.1	XP_004698460.1
OG0009154	XP_031801999.1	XP_045141135.1
OG0009155	XP_003759614.1	XP_004703017.1
OG0009156	XP_031802352.1	XP_045152055.1
OG0009157	XP_003760058.1	XP_012860245.1, XP_004703573.1
OG0009158	XP_031792980.1	XP_030743665.1
OG0009159	XP_003756377.1	XP_045143562.1
OG0009160	XP_031803292.1	XP_004697424.2
OG0009161	XP_012399814.1	XP_004696967.1
OG0009162	XP_031818170.1	NP_001280669.1
OG0009163	XP_031817062.1	XP_045139517.1
OG0009164	XP_031810865.1	XP_045143613.1
OG0009165	XP_031797708.1	XP_004713789.1
OG0009166	XP_031820911.1, XP_031820910.1, XP_031820913.1, XP_031820912.1	XP_045148224.1
OG0009167	XP_031800498.1	XP_004713225.1
OG0009168	XP_031797401.1	XP_045140031.1
OG0009169	XP_003774855.1	XP_045144291.1
OG0009170	XP_031813155.1	XP_004705484.1
OG0009171	XP_023356601.1, XP_012402065.1	XP_004704160.1
OG0009172	XP_031813914.1	XP_045150695.1, XP_045150699.1
OG0009173	XP_031801952.1	XP_004698469.2
OG0009174	XP_003773462.3	XP_045145468.1
OG0009175	XP_031798859.1	XP_030741285.1
OG0009176	XP_031813305.1	XP_045152983.1
OG0009177	XP_031811912.1	XP_004701130.1
OG0009178	XP_003762491.2	XP_004702442.1
OG0009179	XP_023358263.1	XP_045155543.1, XP_004709215.1
OG0009180	XP_012407092.1	XP_004711408.1
OG0009181	XP_003768084.1	XP_004714790.1
OG0009184	XP_003769112.1	XP_004716981.1, XP_004716983.1, XP_004716982.2
